seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr10	94525782	94526182	401	*	Intron (ENSMUST00000132743.2/319880, intron 2 of 2)	10	94514857	94590956	76100	1	319880	ENSMUST00000065060.11	10926	ENSMUSG00000020023	Tmcc3	transmembrane and coiled coil domains 3
chr8	94984155	94984555	401	*	Promoter	8	94984371	95014199	29829	1	14766	ENSMUST00000093271.7	0	ENSMUSG00000031785	Adgrg1	adhesion G protein-coupled receptor G1
chr17	43606680	43607080	401	*	Intron (ENSMUST00000024706.11/27226, intron 9 of 11)	17	43615559	43620485	4927	2	210510	ENSMUST00000162232.1	13405	ENSMUSG00000040140	Tdrd6	tudor domain containing 6
chr15	39943850	39944250	401	*	Promoter	15	39870603	39943994	73392	2	239393	ENSMUST00000110305.2	0	ENSMUSG00000022305	Lrp12	low density lipoprotein-related protein 12
chr19	4269052	4269452	401	*	Promoter	19	4261668	4269180	7513	2	245857	ENSMUST00000037992.15	0	ENSMUSG00000034616	Ssh3	slingshot protein phosphatase 3
chr13	49381228	49381628	401	*	Intron (ENSMUST00000048544.13/76895, intron 6 of 6)	13	49383089	49385148	2060	1	76895	ENSMUST00000220723.1	-1461	ENSMUSG00000037933	Bicd2	BICD cargo adaptor 2
chr16	17532257	17532657	401	*	Distal Intergenic	16	17527982	17531136	3155	2	69009	ENSMUST00000100125.11	-1122	ENSMUSG00000022760	Thap7	THAP domain containing 7
chr15	102203295	102203695	401	*	Promoter	15	102187054	102203412	16359	2	246277	ENSMUST00000229043.1	0	ENSMUSG00000023044	Csad	cysteine sulfinic acid decarboxylase
chr2	84855760	84856160	401	*	Intron (ENSMUST00000121114.7/72401, intron 8 of 14)	2	84840625	84863594	22970	1	72401	ENSMUST00000111625.1	15136	ENSMUSG00000027075	Slc43a1	solute carrier family 43, member 1
chr7	27402726	27403126	401	*	Exon (ENSMUST00000011895.13/80297, exon 17 of 36)	7	27356383	27396553	40171	2	80297	ENSMUST00000108363.7	-6174	ENSMUSG00000011751	Sptbn4	spectrin beta, non-erythrocytic 4
chr9	111438823	111439223	401	*	Promoter	9	111439081	111489118	50038	1	245038	ENSMUST00000111879.4	0	ENSMUSG00000032500	Dclk3	doublecortin-like kinase 3
chr4	40853870	40854270	401	*	Promoter	4	40804602	40854005	49404	2	14595	ENSMUST00000030121.12	0	ENSMUSG00000028413	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
chrX	35888511	35888911	401	*	Promoter	20	35888832	36076562	187731	1	75974	ENSMUST00000033419.12	0	ENSMUSG00000031093	Dock11	dedicator of cytokinesis 11
chr11	115080860	115081260	401	*	Distal Intergenic	11	115091431	115148647	57217	1	58222	ENSMUST00000131046.1	-10171	ENSMUSG00000020732	Rab37	RAB37, member RAS oncogene family
chr5	123973465	123973865	401	*	Promoter	5	123973628	124005558	31931	1	29816	ENSMUST00000000939.14	0	ENSMUSG00000000915	Hip1r	huntingtin interacting protein 1 related
chr8	85432703	85433103	401	*	Promoter	8	85408759	85432833	24075	2	66714	ENSMUST00000047749.6	0	ENSMUSG00000036934	4921524J17Rik	RIKEN cDNA 4921524J17 gene
chr1	86178843	86179243	401	*	Exon (ENSMUST00000134858.7/78795, exon 10 of 10)	1	86196390	86252392	56003	1	78795	ENSMUST00000150059.7	-17147	ENSMUSG00000062590	Armc9	armadillo repeat containing 9
chr17	74802763	74803163	401	*	Intron (ENSMUST00000024882.7/74196, intron 13 of 19)	17	74770066	74780855	10790	1	74196	ENSMUST00000235123.1	32698	ENSMUSG00000024078	Ttc27	tetratricopeptide repeat domain 27
chr9	50800989	50801389	401	*	Promoter	9	50802069	50842763	40695	1	102580	ENSMUST00000177320.1	-680	ENSMUSG00000032059	Alg9	asparagine-linked glycosylation 9 (alpha 1,2 mannosyltransferase)
chr9	62972355	62972755	401	*	Intron (ENSMUST00000098651.5/56469, intron 1 of 13)	9	62878368	62980879	102512	2	56469	ENSMUST00000098651.5	8124	ENSMUSG00000032405	Pias1	protein inhibitor of activated STAT 1
chr11	61104306	61104706	401	*	Distal Intergenic	11	61126755	61149372	22618	1	57916	ENSMUST00000010286.7	-22049	ENSMUSG00000010142	Tnfrsf13b	tumor necrosis factor receptor superfamily, member 13b
chr5	21332138	21332538	401	*	Intron (ENSMUST00000115245.7/75172, intron 3 of 18)	5	21319562	21331119	11558	2	75172	ENSMUST00000132473.2	-1020	ENSMUSG00000064280	Ccdc146	coiled-coil domain containing 146
chr11	11554133	11554533	401	*	Distal Intergenic	11	11489266	11515190	25925	1	73862	ENSMUST00000109678.2	64868	ENSMUSG00000020191	Spata48	spermatogenesis associated 48
chr1	39468990	39469390	401	*	Intron (ENSMUST00000054462.10/54610, intron 1 of 19)	1	39372296	39478661	106366	2	54610	ENSMUST00000192531.5	9271	ENSMUSG00000003134	Tbc1d8	TBC1 domain family, member 8
chr7	34398821	34399221	401	*	Distal Intergenic	7	34345715	34393315	47601	2	67070	ENSMUST00000206388.1	-5507	ENSMUSG00000066568	Lsm14a	LSM14A mRNA processing body assembly factor
chr7	19239437	19239837	401	*	Intron (ENSMUST00000063976.8/403187, intron 1 of 1)	7	19228383	19256543	28161	1	102637572	ENSMUST00000161711.1	11055	NA	Gm38499	predicted gene, 38499
chr9	58247056	58247456	401	*	3' UTR	9	58247068	58249623	2556	2	18854	ENSMUST00000130459.1	2167	ENSMUSG00000036986	Pml	promyelocytic leukemia
chr14	52190677	52191077	401	*	Intron (ENSMUST00000046709.8/114741, intron 1 of 25)	14	52160414	52197416	37003	2	114741	ENSMUST00000046709.8	6339	ENSMUSG00000035726	Supt16	SPT16, facilitates chromatin remodeling subunit
chr19	6995947	6996347	401	*	Promoter	19	6996131	6999044	2914	1	107328	ENSMUST00000237234.1	0	ENSMUSG00000047656	Trpt1	tRNA phosphotransferase 1
chr18	67270007	67270407	401	*	Distal Intergenic	18	67289186	67322472	33287	1	114663	ENSMUST00000025403.7	-18779	ENSMUSG00000024525	Impa2	inositol monophosphatase 2
chr4	20122334	20122734	401	*	3' UTR	4	20042052	20066750	24699	1	14590	ENSMUST00000098242.3	80283	ENSMUSG00000073987	Ggh	gamma-glutamyl hydrolase
chr14	13356002	13356402	401	*	Intron (ENSMUST00000070323.11/72003, intron 2 of 5)	14	13425737	13616340	190604	1	72003	ENSMUST00000223583.1	-69335	ENSMUSG00000056296	Synpr	synaptoporin
chr5	150157662	150158062	401	*	Intron (ENSMUST00000200960.3/320365, intron 1 of 4)	5	150196466	150340420	143955	1	320365	ENSMUST00000202600.3	-38404	ENSMUSG00000056602	Fry	FRY microtubule binding protein
chr11	117325590	117325990	401	*	Promoter	11	117326433	117356376	29944	1	53860	ENSMUST00000127383.7	-443	ENSMUSG00000059248	Septin9	septin 9
chr6	124702732	124703132	401	*	Promoter	6	124702755	124703928	1174	1	14792	ENSMUST00000130020.7	0	ENSMUSG00000004270	Lpcat3	lysophosphatidylcholine acyltransferase 3
chr13	31082417	31082817	401	*	Distal Intergenic	13	30923656	30974093	50438	2	66482	ENSMUST00000222133.1	-108325	ENSMUSG00000021357	Exoc2	exocyst complex component 2
chr9	71764525	71764925	401	*	Intron (ENSMUST00000072899.8/68178, intron 1 of 18)	9	71629211	71771560	142350	2	68178	ENSMUST00000122065.1	6635	ENSMUSG00000032232	Cgnl1	cingulin-like 1
chr3	122466054	122466454	401	*	Intron (ENSMUST00000029766.8/29815, intron 3 of 11)	3	122483723	122508448	24726	1	29815	ENSMUST00000197073.1	-17269	ENSMUSG00000028121	Bcar3	breast cancer anti-estrogen resistance 3
chr13	35404194	35404594	401	*	Intron (ENSMUST00000226101.1/ENSMUST00000226101.1, intron 1 of 1)	13	35210660	35212048	1389	2	75543	ENSMUST00000220954.1	-192147	ENSMUSG00000113770	1700019C18Rik	RIKEN cDNA 1700019C18 gene
chr17	75536634	75537034	401	*	Downstream (<1kb)	17	75539031	75540572	1542	2	72722	ENSMUST00000140729.1	3538	ENSMUSG00000002017	Fam98a	family with sequence similarity 98, member A
chr15	96598887	96599287	401	*	Intron (ENSMUST00000088454.12/105727, intron 4 of 15)	15	96578534	96579584	1051	2	105727	ENSMUST00000230607.1	-19304	ENSMUSG00000023169	Slc38a1	solute carrier family 38, member 1
chr6	86420488	86420888	401	*	Promoter	6	86420256	86427770	7515	1	21841	ENSMUST00000126404.5	233	ENSMUSG00000071337	Tia1	cytotoxic granule-associated RNA binding protein 1
chr8	90908081	90908481	401	*	Promoter	8	90908614	90976950	68337	1	109151	ENSMUST00000211403.1	-133	ENSMUSG00000056608	Chd9	chromodomain helicase DNA binding protein 9
chr17	84128296	84128696	401	*	Distal Intergenic	17	84078660	84089875	11216	1	74473	ENSMUST00000234076.1	49637	ENSMUSG00000117571	4933433H22Rik	RIKEN cDNA 4933433H22 gene
chr2	92059417	92059817	401	*	Intron (ENSMUST00000150482.1/ENSMUST00000150482.1, intron 1 of 1)	2	92093117	92364666	271550	1	192285	ENSMUST00000044036.14	-33300	ENSMUSG00000058318	Phf21a	PHD finger protein 21A
chr7	127842340	127842740	401	*	Promoter	7	127842685	127846586	3902	1	20909	ENSMUST00000138294.1	0	ENSMUSG00000030805	Stx4a	syntaxin 4A (placental)
chr14	50938937	50939337	401	*	Intron (ENSMUST00000226871.1/18950, intron 2 of 5)	14	50944302	50953412	9111	1	18950	ENSMUST00000048615.12	-4965	ENSMUSG00000115338	Pnp	purine-nucleoside phosphorylase
chr7	4938437	4938837	401	*	Intron (ENSMUST00000057612.8/269855, intron 12 of 13)	7	4937090	4942867	5778	1	269855	ENSMUST00000207310.1	1348	ENSMUSG00000035279	Ssc5d	scavenger receptor cysteine rich family, 5 domains
chr15	78428422	78428822	401	*	Promoter	15	78428564	78438497	9934	1	72844	ENSMUST00000162517.7	0	ENSMUSG00000033287	Kctd17	potassium channel tetramerisation domain containing 17
chr8	121925634	121926034	401	*	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	8	121918054	121927474	9421	2	12352	ENSMUST00000151462.1	1440	ENSMUSG00000025317	Car5a	carbonic anhydrase 5a, mitochondrial
chr10	94116245	94116645	401	*	Intron (ENSMUST00000020208.4/13998, intron 8 of 20)	10	94133163	94139871	6709	1	13998	ENSMUST00000125535.1	-16518	ENSMUSG00000020021	Fgd6	FYVE, RhoGEF and PH domain containing 6
chr5	66147284	66147684	401	*	Intron (ENSMUST00000201544.3/245945, intron 3 of 8)	5	66025542	66150956	125415	2	245945	ENSMUST00000202794.3	3272	ENSMUSG00000070780	Rbm47	RNA binding motif protein 47
chr17	79939217	79939617	401	*	Distal Intergenic	17	79848392	79896123	47732	2	56298	ENSMUST00000112437.7	-43095	ENSMUSG00000059811	Atl2	atlastin GTPase 2
chr6	48016216	48016616	401	*	Distal Intergenic	6	48029379	48044243	14865	2	72306	ENSMUST00000148362.1	27627	ENSMUSG00000071477	Zfp777	zinc finger protein 777
chr3	96428049	96428449	401	*	Distal Intergenic	3	96414437	96414859	423	2	21748	ENSMUST00000082862.1	-13191	ENSMUSG00000118406	Terc	telomerase RNA component
chr9	105131656	105132056	401	*	Promoter	9	105129332	105131824	2493	2	75686	ENSMUST00000035179.8	0	ENSMUSG00000032565	Nudt16	nudix (nucleoside diphosphate linked moiety X)-type motif 16
chrX	7638503	7638903	401	*	Promoter	20	7638638	7647369	8732	1	20977	ENSMUST00000149795.7	0	ENSMUSG00000031144	Syp	synaptophysin
chr11	102434392	102434792	401	*	Promoter	11	102434718	102435944	1227	1	14824	ENSMUST00000123500.2	0	ENSMUSG00000034708	Grn	granulin
chr4	133369519	133369919	401	*	Promoter	4	133369776	133369864	89	1	100628620	ENSMUST00000175004.1	0	ENSMUSG00000092745	Mir5122	microRNA 5122
chr5	25529493	25529893	401	*	Promoter	5	25530013	25531466	1454	1	73571	ENSMUST00000188465.1	-120	ENSMUSG00000101856	1700096K18Rik	RIKEN cDNA 1700096K18 gene
chrX	7574189	7574589	401	*	Promoter	20	7557296	7574283	16988	2	54646	ENSMUST00000150787.7	0	ENSMUSG00000039556	Ppp1r3f	protein phosphatase 1, regulatory subunit 3F
chr9	108306636	108307036	401	*	Promoter	9	108306797	108336734	29938	1	11848	ENSMUST00000194701.5	0	ENSMUSG00000007815	Rhoa	ras homolog family member A
chr11	114858637	114859037	401	*	Intron (ENSMUST00000133245.1/70355, intron 1 of 1)	11	114864492	114870607	6116	1	70355	ENSMUST00000152314.1	-5455	ENSMUSG00000051043	Gprc5c	G protein-coupled receptor, family C, group 5, member C
chr7	16309220	16309620	401	*	Promoter	7	16309616	16318205	8590	1	170770	ENSMUST00000002152.12	0	ENSMUSG00000002083	Bbc3	BCL2 binding component 3
chr1	138617930	138618330	401	*	Intron (ENSMUST00000186017.6/59125, intron 1 of 9)	1	138484112	138619674	135563	2	59125	ENSMUST00000027642.4	1344	ENSMUSG00000026393	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7
chr7	16746046	16746446	401	*	Promoter	7	16746764	16749294	2531	1	232910	ENSMUST00000141496.1	-318	ENSMUSG00000008036	Ap2s1	adaptor-related protein complex 2, sigma 1 subunit
chr11	43361839	43362239	401	*	Distal Intergenic	11	43374397	43374461	65	2	387164	ENSMUST00000083667.1	12222	ENSMUSG00000065601	Mir146	microRNA 146
chr3	100442867	100443267	401	*	Distal Intergenic	3	100426439	100437754	11316	1	73806	ENSMUST00000152827.1	16429	ENSMUSG00000086923	4930406D18Rik	RIKEN cDNA 4930406D18 gene
chr2	118199851	118200251	401	*	Intron (ENSMUST00000231133.1/71313, intron 10 of 11)	2	118130424	118256956	126533	2	71313	ENSMUST00000231133.1	56705	ENSMUSG00000027344	Fsip1	fibrous sheath-interacting protein 1
chr12	25242373	25242773	401	*	Distal Intergenic	12	25129174	25134931	5758	1	432641	ENSMUST00000223429.1	113200	NA	Gm17746	predicted gene, 17746
chr1	160244657	160245057	401	*	Intron (ENSMUST00000028052.11/29809, intron 4 of 8)	1	160236655	160247998	11344	2	29809	ENSMUST00000194623.1	2941	ENSMUSG00000026721	Rabgap1l	RAB GTPase activating protein 1-like
chr17	45597072	45597472	401	*	Promoter	17	45590112	45597066	6955	2	63959	ENSMUST00000168274.1	-7	ENSMUSG00000023942	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1
chr10	59166539	59166939	401	*	Exon (ENSMUST00000220156.1/103080, exon 9 of 10)	10	59166040	59178857	12818	2	103080	ENSMUST00000218171.1	11918	ENSMUSG00000019917	Septin10	septin 10
chr8	35468965	35469365	401	*	3' UTR	8	35482653	35495052	12400	2	67276	ENSMUST00000210483.1	25687	ENSMUSG00000031527	Eri1	exoribonuclease 1
chr12	81751110	81751510	401	*	Intron (ENSMUST00000035987.8/338372, intron 2 of 10)	12	81722039	81780874	58836	2	338372	ENSMUST00000222322.1	29364	ENSMUSG00000042724	Map3k9	mitogen-activated protein kinase kinase kinase 9
chr7	27383213	27383613	401	*	Intron (ENSMUST00000108362.7/80297, intron 2 of 17)	7	27356383	27394506	38124	2	80297	ENSMUST00000108362.7	10893	ENSMUSG00000011751	Sptbn4	spectrin beta, non-erythrocytic 4
chr5	52741377	52741777	401	*	Promoter	5	52741574	52769340	27767	1	67073	ENSMUST00000031081.10	0	ENSMUSG00000029186	Pi4k2b	phosphatidylinositol 4-kinase type 2 beta
chr11	75558124	75558524	401	*	Intron (ENSMUST00000108433.7/215113, intron 5 of 13)	11	75560821	75567067	6247	1	215113	ENSMUST00000151891.1	-2297	ENSMUSG00000038178	Slc43a2	solute carrier family 43, member 2
chr6	30326107	30326507	401	*	Intron (ENSMUST00000128017.1/ENSMUST00000128017.1, intron 1 of 1)	6	30211289	30304539	93251	2	22214	ENSMUST00000102993.9	-21569	ENSMUSG00000039159	Ube2h	ubiquitin-conjugating enzyme E2H
chr18	65964998	65965398	401	*	Intron (ENSMUST00000025397.6/225644, intron 2 of 2)	18	65956773	65967682	10910	2	225644	ENSMUST00000236894.1	2284	ENSMUSG00000024519	Cplx4	complexin 4
chr4	145214401	145214801	401	*	3' UTR	4	144972622	145195005	222384	2	230895	ENSMUST00000036579.13	-19397	ENSMUSG00000020220	Vps13d	vacuolar protein sorting 13D
chr17	35578216	35578616	401	*	Distal Intergenic	17	35567450	35568952	1503	1	69542	ENSMUST00000044326.4	10767	ENSMUSG00000039269	2300002M23Rik	RIKEN cDNA 2300002M23 gene
chr16	13819023	13819423	401	*	Promoter	16	13819251	13835451	16201	1	18203	ENSMUST00000023362.14	0	ENSMUSG00000022681	Ntan1	N-terminal Asn amidase
chr13	55212021	55212421	401	*	Promoter	13	55212070	55215678	3609	1	18193	ENSMUST00000225194.1	0	ENSMUSG00000021488	Nsd1	nuclear receptor-binding SET-domain protein 1
chr9	59969385	59969785	401	*	3' UTR	9	59942771	59960659	17889	2	23958	ENSMUST00000128060.7	-8727	ENSMUSG00000032292	Nr2e3	nuclear receptor subfamily 2, group E, member 3
chr12	77000066	77000466	401	*	Intron (ENSMUST00000219581.1/ENSMUST00000219581.1, intron 2 of 3)	12	76937274	76962201	24928	2	17187	ENSMUST00000082136.6	-37866	ENSMUSG00000059436	Max	Max protein
chr4	125996586	125996986	401	*	Distal Intergenic	4	126024550	126044440	19891	1	12986	ENSMUST00000106162.7	-27564	ENSMUSG00000028859	Csf3r	colony stimulating factor 3 receptor (granulocyte)
chr9	99580661	99581061	401	*	Promoter	9	99580297	99582689	2393	1	83703	ENSMUST00000136884.1	365	ENSMUSG00000032469	Dbr1	debranching RNA lariats 1
chr11	79652247	79652647	401	*	Intron (ENSMUST00000017783.12/268451, intron 3 of 14)	11	79660562	79683498	22937	1	268451	ENSMUST00000155381.1	-7915	ENSMUSG00000017639	Rab11fip4	RAB11 family interacting protein 4 (class II)
chr5	139149919	139150319	401	*	Promoter	5	139108511	139150001	41491	2	19085	ENSMUST00000155833.7	0	ENSMUSG00000025855	Prkar1b	protein kinase, cAMP dependent regulatory, type I beta
chr10	17947887	17948287	401	*	Promoter	10	17899035	17948067	49033	2	380629	ENSMUST00000037879.7	0	ENSMUSG00000039879	Heca	hdc homolog, cell cycle regulator
chr9	104203858	104204258	401	*	Promoter	9	104196023	104203347	7325	2	235567	ENSMUST00000188592.1	-512	ENSMUSG00000032560	Dnajc13	DnaJ heat shock protein family (Hsp40) member C13
chr7	29134667	29135067	401	*	Promoter	7	29134851	29152542	17692	1	233046	ENSMUST00000161522.7	0	ENSMUSG00000030589	Rasgrp4	RAS guanyl releasing protein 4
chr2	103456625	103457025	401	*	Exon (ENSMUST00000028610.9/12359, exon 11 of 13)	2	103448738	103449823	1086	1	13711	ENSMUST00000152055.1	7888	ENSMUSG00000027186	Elf5	E74-like factor 5
chr10	94345503	94345903	401	*	Intron (ENSMUST00000147869.1/319880, intron 1 of 1)	10	94312137	94375595	63459	1	319880	ENSMUST00000139230.1	33367	ENSMUSG00000020023	Tmcc3	transmembrane and coiled coil domains 3
chr9	92265813	92266213	401	*	Promoter	9	92266295	92271977	5683	1	22038	ENSMUST00000187952.1	-82	ENSMUSG00000032369	Plscr1	phospholipid scramblase 1
chr10	93662052	93662452	401	*	Intron (ENSMUST00000020204.4/57764, intron 2 of 9)	10	93665383	93665846	464	2	667338	ENSMUST00000160295.1	3394	NA	Gm8580	ribosomal protein L29 pseudogene
chr8	124949212	124949612	401	*	Promoter	8	124908587	124949324	40738	2	112405	ENSMUST00000034469.6	0	ENSMUSG00000031987	Egln1	egl-9 family hypoxia-inducible factor 1
chr11	119228347	119228747	401	*	Promoter	11	119143045	119228499	85455	2	207592	ENSMUST00000036113.3	0	ENSMUSG00000039976	Tbc1d16	TBC1 domain family, member 16
chr3	9878795	9879195	401	*	Distal Intergenic	3	9687479	9833679	146201	2	94212	ENSMUST00000161949.7	-45117	ENSMUSG00000027508	Pag1	phosphoprotein associated with glycosphingolipid microdomains 1
chr6	115743578	115743978	401	*	Intron (ENSMUST00000112946.7/94346, intron 1 of 11)	6	115729533	115735293	5761	2	94346	ENSMUST00000151849.1	-8286	ENSMUSG00000059900	Tmem40	transmembrane protein 40
chr2	73278473	73278873	401	*	Intron (ENSMUST00000147133.1/381373, intron 1 of 2)	2	73271966	73284706	12741	1	381373	ENSMUST00000147133.1	6508	ENSMUSG00000068859	Sp9	trans-acting transcription factor 9
chr17	84028532	84028932	401	*	Distal Intergenic	17	84008894	84013388	4495	1	78148	ENSMUST00000235072.1	19639	ENSMUSG00000117431	8430430B14Rik	RIKEN cDNA 8430430B14 gene
chr5	117976525	117976925	401	*	Promoter	5	117976730	118010201	33472	1	231670	ENSMUST00000202447.3	0	ENSMUSG00000032898	Fbxo21	F-box protein 21
chr4	128728431	128728831	401	*	Promoter	4	128727982	128747132	19151	1	54383	ENSMUST00000134421.1	450	ENSMUSG00000028796	Phc2	polyhomeotic 2
chr5	77172508	77172908	401	*	Distal Intergenic	5	77205112	77211205	6094	2	69982	ENSMUST00000121825.1	38297	ENSMUSG00000053030	Spink2	serine peptidase inhibitor, Kazal type 2
chr18	60848808	60849208	401	*	Promoter	18	60813755	60848929	35175	2	21453	ENSMUST00000175934.7	0	ENSMUSG00000024613	Tcof1	treacle ribosome biogenesis factor 1
chr17	23853258	23853658	401	*	Promoter	17	23853543	23859776	6234	1	69814	ENSMUST00000061725.7	0	ENSMUSG00000048992	Prss32	protease, serine 32
chr19	6895552	6895952	401	*	Distal Intergenic	19	6906750	6908301	1552	2	54683	ENSMUST00000149261.7	12349	ENSMUSG00000024953	Prdx5	peroxiredoxin 5
chr10	111226482	111226882	401	*	Intron (ENSMUST00000105275.8/237542, intron 3 of 23)	10	111233629	111248449	14821	1	237542	ENSMUST00000217693.1	-6747	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8
chr8	25016936	25017336	401	*	Promoter	8	25017211	25023260	6050	1	69742	ENSMUST00000033961.6	0	ENSMUSG00000031556	Tm2d2	TM2 domain containing 2
chr14	103132019	103132419	401	*	Intron (ENSMUST00000161008.7/105689, intron 16 of 27)	14	103114133	103115396	1264	2	105689	ENSMUST00000162852.1	-16624	ENSMUSG00000033004	Mycbp2	MYC binding protein 2, E3 ubiquitin protein ligase
chr10	10656116	10656516	401	*	Distal Intergenic	10	10605945	10616313	10369	1	382450	ENSMUST00000183337.1	50172	ENSMUSG00000098065	Gm5177	glyceraldehyde-3-phosphate dehydrogenase pseudogene
chr1	131022603	131023003	401	*	Intron (ENSMUST00000016673.5/16153, intron 4 of 4)	1	131019845	131024974	5130	1	16153	ENSMUST00000016673.5	2759	ENSMUSG00000016529	Il10	interleukin 10
chr17	69382599	69382999	401	*	Promoter	17	69383050	69390750	7701	1	22666	ENSMUST00000112674.7	-51	ENSMUSG00000049672	Zbtb14	zinc finger and BTB domain containing 14
chr10	85235316	85235716	401	*	Intron (ENSMUST00000215824.1/ENSMUST00000215824.1, intron 1 of 2)	10	85131700	85185064	53365	2	12952	ENSMUST00000020227.10	-50253	ENSMUSG00000020038	Cry1	cryptochrome 1 (photolyase-like)
chr17	72836182	72836582	401	*	Promoter	17	72836453	72851195	14743	1	383295	ENSMUST00000045174.6	0	ENSMUSG00000039770	Ypel5	yippee like 5
chr15	81132704	81133104	401	*	Intron (ENSMUST00000134469.8/223701, intron 2 of 14)	15	81012291	81105083	92793	2	223701	ENSMUST00000109579.8	-27622	ENSMUSG00000042292	Mrtfa	myocardin related transcription factor A
chr14	103650033	103650433	401	*	Promoter	14	103650228	103704907	54680	1	105439	ENSMUST00000069443.13	0	ENSMUSG00000055717	Slain1	SLAIN motif family, member 1
chr2	12206379	12206779	401	*	Intron (ENSMUST00000028106.10/241226, intron 13 of 29)	2	12182661	12193312	10652	2	241226	ENSMUST00000129370.1	-13068	ENSMUSG00000026768	Itga8	integrin alpha 8
chr17	34032170	34032570	401	*	Promoter	17	34032196	34038395	6200	1	20182	ENSMUST00000173354.8	0	ENSMUSG00000039656	Rxrb	retinoid X receptor beta
chr13	32851966	32852366	401	*	Promoter	13	32842092	32851185	9094	2	66222	ENSMUST00000076352.7	-782	ENSMUSG00000044734	Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a
chr6	124921563	124921963	401	*	Intron (ENSMUST00000069553.2/442825, intron 1 of 1)	6	124913764	124920103	6340	2	69202	ENSMUST00000204671.2	-1461	ENSMUSG00000030122	Ptms	parathymosin
chr12	117837378	117837778	401	*	Intron (ENSMUST00000176499.1/217946, intron 3 of 4)	12	117843515	117878706	35192	1	217946	ENSMUST00000021592.15	-5737	ENSMUSG00000021175	Cdca7l	cell division cycle associated 7 like
chr4	10912609	10913009	401	*	Distal Intergenic	4	10879539	10891778	12240	1	67157	ENSMUST00000142026.1	33071	ENSMUSG00000059482	2610301B20Rik	RIKEN cDNA 2610301B20 gene
chr13	56522266	56522666	401	*	Promoter	13	56522472	56527467	4996	1	213311	ENSMUST00000121095.7	0	ENSMUSG00000035509	Fbxl21	F-box and leucine-rich repeat protein 21
chr7	100988036	100988436	401	*	Distal Intergenic	7	100939478	100974649	35172	2	233571	ENSMUST00000209196.1	-13388	ENSMUSG00000048779	P2ry6	pyrimidinergic receptor P2Y, G-protein coupled, 6
chr13	16005511	16005911	401	*	Intron (ENSMUST00000220672.1/100503142, intron 1 of 3)	13	16011851	16031621	19771	1	16323	ENSMUST00000042603.13	-5940	ENSMUSG00000041324	Inhba	inhibin beta-A
chr12	25319828	25320228	401	*	Intron (ENSMUST00000220620.1/ENSMUST00000220620.1, intron 1 of 2)	12	25129174	25134931	5758	1	432641	ENSMUST00000223429.1	190655	NA	Gm17746	predicted gene, 17746
chr2	154285300	154285700	401	*	Distal Intergenic	2	154267682	154271245	3564	1	71425	ENSMUST00000126084.1	17619	ENSMUSG00000067998	Bpifb9a	BPI fold containing family B, member 9A
chr19	18567895	18568295	401	*	Intron (ENSMUST00000236615.1/20409, intron 9 of 10)	19	18593601	18631718	38118	2	20409	ENSMUST00000138860.1	63423	ENSMUSG00000024725	Ostf1	osteoclast stimulating factor 1
chr6	116767703	116768103	401	*	Distal Intergenic	6	116679063	116716913	37851	2	319776	ENSMUST00000056623.12	-50791	ENSMUSG00000048108	Tmem72	transmembrane protein 72
chr11	110337548	110337948	401	*	Promoter	11	110269369	110337678	68310	2	217265	ENSMUST00000043961.11	0	ENSMUSG00000018800	Abca5	ATP-binding cassette, sub-family A (ABC1), member 5
chr8	86745507	86745907	401	*	Promoter	8	86745699	86746603	905	1	666945	ENSMUST00000098532.2	0	NA	Gm10638	predicted gene 10638
chr9	70678694	70679094	401	*	Promoter	9	70678997	70778382	99386	1	11487	ENSMUST00000140205.7	0	ENSMUSG00000054693	Adam10	a disintegrin and metallopeptidase domain 10
chr1	134122196	134122596	401	*	Intron (ENSMUST00000159963.7/71884, intron 1 of 11)	1	134111242	134151540	40299	1	71884	ENSMUST00000160060.7	10955	ENSMUSG00000026450	Chit1	chitinase 1 (chitotriosidase)
chr2	27009753	27010153	401	*	Promoter	2	27009926	27016849	6924	1	381356	ENSMUST00000114005.8	0	ENSMUSG00000015488	Cacfd1	calcium channel flower domain containing 1
chr12	70111828	70112228	401	*	Promoter	12	70018739	70112035	93297	2	18080	ENSMUST00000095666.12	0	ENSMUSG00000021068	Nin	ninein
chr7	104293968	104294368	401	*	Distal Intergenic	7	104263386	104288094	24709	2	667823	ENSMUST00000098179.8	-5875	ENSMUSG00000060441	Trim5	tripartite motif-containing 5
chr7	28601040	28601440	401	*	Distal Intergenic	7	28558819	28598185	39367	2	70584	ENSMUST00000108283.7	-2856	ENSMUSG00000030602	Pak4	p21 (RAC1) activated kinase 4
